,_id,ico_phase_ended,ind_coinmarketcap,ind_cryptocompare,ind_cryptowatch,ind_ravneeticoprice,name
2640,5b40605d57c41002aa12e3ea,1,0,0,0,0,FIRST BLOOD
1625,5b40605c57c41002aa12dff3,1,0,0,0,0,FIT Token
1809,5b40605c57c41002aa12e0ab,1,0,0,0,0,FLARE
913,5b40605c57c41002aa12dd2b,1,0,0,0,0,FLOATERIUM
1023,5b40605c57c41002aa12dd99,1,0,0,0,0,FLOGmall
919,5b40605c57c41002aa12dd31,1,0,0,0,0,FLUX
2455,5b40605c57c41002aa12e331,1,1,1,0,1,FLiK
2253,5b40605c57c41002aa12e267,1,0,0,0,0,FOS
984,5b40605c57c41002aa12dd72,1,0,0,0,0,FRASINDO 
849,5b40605c57c41002aa12dceb,1,0,0,0,0,FREEZONE
1259,5b40605c57c41002aa12de85,1,0,0,0,0,FRESCO
1216,5b40605c57c41002aa12de5a,1,1,1,1,0,FRIENDZ
2162,5b40605c57c41002aa12e20c,1,0,0,0,0,FTCoin
302,5b40605c57c41002aa12dac8,0,0,0,0,0,FTEC
1403,5b40605c57c41002aa12df15,1,0,0,0,0,FUELDApp
2246,5b40605c57c41002aa12e260,1,0,0,0,0,FUNDCOIN
1162,5b40605c57c41002aa12de24,1,1,0,0,0,Faceter
1921,5b40605c57c41002aa12e11b,1,0,0,0,0,Fair Trade Cab
2243,5b40605c57c41002aa12e25d,1,0,0,0,0,FairAppToken 
391,5b40605c57c41002aa12db21,0,0,0,0,0,FairWin
1999,5b40605c57c41002aa12e169,1,0,0,0,0,Fairloris
1758,5b40605c57c41002aa12e078,1,0,0,0,0,FamilyPoints
1114,5b40605c57c41002aa12ddf4,1,0,0,0,0,Fan Controlled Football League
1145,5b40605c57c41002aa12de13,1,0,0,0,0,FarmaTrust
658,5b40605c57c41002aa12dc2c,1,0,0,0,0,Fast Access Blockchain
513,5b40605c57c41002aa12db9b,0,0,0,0,0,Fast Invest
573,5b40605c57c41002aa12dbd7,1,0,0,0,0,Fastenser
1071,5b40605c57c41002aa12ddc9,1,0,0,0,0,Fatcats market
671,5b40605c57c41002aa12dc39,1,0,0,0,0,Faxport
2487,5b40605c57c41002aa12e351,1,0,0,0,0,Feeed
942,5b40605c57c41002aa12dd48,1,0,0,0,0,Feelium
1577,5b40605c57c41002aa12dfc3,1,0,0,0,0,Female Token
1644,5b40605c57c41002aa12e006,1,0,0,0,0,FiCon
53,5b40605c57c41002aa12d9cf,1,0,0,0,0,Fiancia 
2109,5b40605c57c41002aa12e1d7,1,0,0,0,0,Fidcom
1291,5b40605c57c41002aa12dea5,1,1,0,0,0,Fidelium
1971,5b40605c57c41002aa12e14d,1,0,0,0,0,Fiinu
2383,5b40605c57c41002aa12e2e9,1,0,0,0,0,FinShi Capital
1686,5b40605c57c41002aa12e030,1,0,0,0,0,FinTab 
