,close_date,close_date
,min,max
name,,
SureRemit,2018-07-06,2018-07-06
Suretly,2017-07-05,2018-07-08
Swarm Fund,2017-11-20,2018-07-08
SwissBorg,2018-02-12,2018-07-08
SyncFab,2018-06-26,2018-07-08
TARGET COIN,2018-07-06,2018-07-06
TE-FOOD,2018-03-28,2018-07-08
TOKENOMY,2018-07-06,2018-07-06
TOKIA,2018-07-06,2018-07-06
TaaS,2018-07-06,2018-07-06
Telcoin,2018-01-24,2018-07-08
Telegram Open Network,2017-11-15,2018-07-08
TenX,2017-05-26,2018-07-08
Tezos,2017-06-24,2018-07-08
The Abyss,2018-06-07,2018-07-08
TheKey,2018-07-06,2018-07-06
Tierion,2017-07-26,2018-07-08
Tigereum,2018-07-06,2018-07-06
TokenBox,2018-07-06,2018-07-06
TokenDesk,2018-04-24,2018-07-08
TokenPay,2018-06-26,2018-07-08
TokenStars,2018-01-08,2018-07-08
Tomahawkcoin,2017-08-09,2018-07-08
TrakInvest,2018-07-06,2018-07-06
Transcodium,2018-07-06,2018-07-06
Traxia,2018-07-06,2018-07-06
UNICOIN,2018-07-06,2018-07-06
Umbrella Coin,2017-10-31,2018-07-08
Unibright,2018-07-06,2018-07-06
Universa,2018-03-05,2018-07-08
UpToken,2018-04-06,2018-07-08
Utrum,2018-07-06,2018-07-06
VIBEHub,2017-10-11,2018-07-08
VeriME,2018-07-06,2018-07-06
Verify,2017-12-14,2018-07-08
Vezt,2018-04-19,2018-07-08
Viberate,2017-10-08,2018-07-08
Vice Industry Token,2018-04-18,2018-07-08
Viuly,2018-02-08,2018-07-08
WAX,2018-07-06,2018-07-06
WaBi,2017-12-14,2018-07-08
Wagerr,2017-07-06,2018-07-08
WandX,2017-12-12,2018-07-08
WePower,2018-02-12,2018-07-08
Wild Crypto,2017-09-12,2018-07-08
Wings,2018-07-06,2018-07-06
Wolk,2017-11-01,2018-07-08
Worldcore,2017-10-17,2018-07-08
Wysker,2018-07-07,2018-07-08
ZILLA,2018-07-06,2018-07-06
Zebi,2018-07-06,2018-07-06
Zeepin,2018-02-02,2018-07-08
Zephyr,2018-07-06,2018-07-06
ZrCoin,2015-03-01,2018-07-08
aXpire,2018-01-25,2018-07-08
carVertical,2018-07-06,2018-07-06
fidentiaX,2017-12-08,2018-07-08
iEx.ec,2017-04-20,2018-07-08
iOlite,2015-03-06,2018-07-08
indaHash,2018-07-06,2018-07-06
invacio,2018-07-06,2018-07-06
